Feature Dataset,Feature Class,Feature Type,Shape Type,Feature Count,Field Name,|,Frequency Count,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data exported 01/17/2022 08:50:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SUBTYPECD,|,FIELD EXCLUDED IN CONFIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,SubtypeCD,2,Cast Iron,Copper,Null,Plastic,Steel,Unknown,Wrought Iron,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,1,0,0,0,1656,176,1859,2,0,3693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,2,0,0,0,4,5,934,0,0,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,3,0,0,0,3,0,22,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,4,3,9,2,0,18437,4872,371,1,23695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,5,0,0,0,0,0,12,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,6,0,0,0,0,28,42,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,7,0,0,0,1,0,64,0,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,8,0,0,0,0,0,230,0,0,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,MATERIAL,|,Total,3,9,2,1664,18646,8035,373,1,28733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,SubtypeCD,DISTRIBUTION,MAIN,Null,SERVICE,Service,TRANSMISSION,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,1,0,3283,0,404,0,6,3693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,2,5,841,0,94,0,3,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,3,0,21,0,0,0,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,4,59,3853,347,19321,5,110,23695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,5,0,12,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,6,0,68,0,2,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,7,0,63,0,2,0,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,8,0,225,0,5,0,0,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,SYSTEMTYPE,|,Total,64,8366,347,19828,5,123,28733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,COATINGTYPE,|,Material, ,2-PART-E,2-PART-E-DENSO,ARO,BAR,BLM,C/W,C/W-TF2,C/W-XTRU,CTP,CTP-WAX,CTP-WAX-DENSO,CTR,CTR-ENA-#2-KOPPERS,CTR-ENA-70-B-KOPPERS,CTR-TGF-3,EPOXY-DENSO,FBE,FBE-3M,FBE-VALSPAR,HOT,NA,Null,PNT,PNT-NAPKO,Polyguard RD-6,UNK,UNKW,XTC,Total,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,COATINGTYPE,|,1,1,102,1,78,2119,1,25947,5,760,1,25,4,20,33,3,1,1,2945,3,1,1,116,397,55,1,12,6866,57,1,39557,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,COATINGTYPE,|,2,2,2,0,4,9,0,1,0,0,0,0,0,0,0,0,0,0,66,0,0,0,60369,672,0,0,0,0,0,0,61125,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,COATINGTYPE,|,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,6,0,0,0,0,0,0,652,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,COATINGTYPE,|,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,COATINGTYPE,|,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,0,0,0,0,81,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,COATINGTYPE,|,Total,3,104,1,82,2128,1,25948,5,760,1,25,4,20,33,3,1,1,3011,3,1,1,61219,1076,55,1,12,6866,57,1,101423,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,DESIGNCLASS,|,Material,0,1,2,3,4,Null,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,DESIGNCLASS,|,1,20364,21,0,9154,0,10018,39557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,DESIGNCLASS,|,2,29842,24,1,16306,2,14950,61125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,DESIGNCLASS,|,3,1,0,0,0,0,651,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,DESIGNCLASS,|,4,0,0,0,8,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,DESIGNCLASS,|,7,0,0,0,80,0,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,DESIGNCLASS,|,Total,50207,45,1,25548,2,25620,101423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,MATERIAL,|,Material,1,2,3,4,7,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,MATERIAL,|,1,39557,0,0,0,0,39557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,MATERIAL,|,2,0,61125,0,0,0,61125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,MATERIAL,|,3,0,0,652,0,0,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,MATERIAL,|,4,0,0,0,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,MATERIAL,|,7,0,0,0,0,81,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,MATERIAL,|,Total,39557,61125,652,8,81,101423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SYSTEMTYPE,|,Material,Distribution,MAIN,Transmission,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SYSTEMTYPE,|,1,38277,11,1269,39557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SYSTEMTYPE,|,2,61099,22,4,61125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SYSTEMTYPE,|,3,652,0,0,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SYSTEMTYPE,|,4,8,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_PipeSystem,P_Pipes,Simple,Polyline,101423,SYSTEMTYPE,|,7,81,0,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
