Feature Dataset,Feature Class,Feature Type,Shape Type,Feature Count,Subtype Code,Subtype Field (if assigned),Field Name,Default Value,Domain Name
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,CREATIONUSER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,DATECREATED,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,DATEMODIFIED,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,ENABLED,1,EnabledDomain
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,GLOBALID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,INSTALLATIONDATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,LASTUSER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,LEGACYID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,MANUFACTUREDATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,MANUFACTUREMODEL,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,MAOPDESIGN,None,_Maximum_Pressure_PSIG
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,MAOPRECORD,None,_Maximum_Pressure_PSIG
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,MAOPTEST,None,_Maximum_Pressure_PSIG
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,MATERIAL,Steel,_Fittin_Material_Steel
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,NORMALPOSITION,1,Valve Position
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,OBJECTID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,STATUS,Active,Pipe Facility Status
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,SUBTYPECD,1,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,1,SubtypeCD,SYSTEMTYPE,MAIN,_System_Type
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,ASSETUNITCODE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,BARCODE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,CONTAINMENTGLOBALID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,CONTINM,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,CONTINROUTEID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,CONTINROUTENAME,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,CREATED_DATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,CREATED_USER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,CREATIONUSER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,DATECREATED,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,DATEMODIFIED,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,ENABLED,1,EnabledDomain
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,ENGM,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,ENGROUTEID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,ENGROUTENAME,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,EVENTID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,FROMDATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,GASTRACEWEIGHT,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,GLOBALID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,INSERVICEDATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,INSTALLATIONDATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,LAST_EDITED_DATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,LAST_EDITED_USER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,LASTUSER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,LEGACYID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,LOCATIONERROR,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,MANUFACTUREDATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,MANUFACTURELOTNO,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,MANUFACTUREMODEL,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,MANUFACTURER,None,_Fittin_Manufacturer
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,MAOPDESIGN,None,_Maximum_Pressure_PSIG
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,MAOPRECORD,None,_Maximum_Pressure_PSIG
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,MAOPTEST,None,_Maximum_Pressure_PSIG
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,MATERIAL,Steel,_Fittin_Material_Steel
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,NOMINALDIAMETER,None,_Fittin_ThreeWayTee_Size
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,NORMALPOSITION,1,Valve Position
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,OBJECTID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,OWNER,Company Owned,_Owner
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,PROJECTNUMBER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,REFLOCATION,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,REFMETHOD,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,REFOFFSET,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,Shape,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,SPATIALACCURACY,None,Spatial Accuracy
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,STATUS,Active,Pipe Facility Status
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,SUBTYPECD,2,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,SYSTEMTYPE,MAIN,_System_Type
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,TODATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,2,SubtypeCD,WORKORDERID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,ASSETUNITCODE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,BARCODE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,CONTAINMENTGLOBALID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,CONTINM,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,CONTINROUTEID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,CONTINROUTENAME,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,CREATED_DATE,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,CREATED_USER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,CREATIONUSER,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,DATECREATED,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,DATEMODIFIED,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,ENABLED,1,EnabledDomain
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,ENGM,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,ENGROUTEID,None,NO FIELD DOMAIN
P_PipeSystem,P_ControllableFitting,Simple,Point,28733,3,SubtypeCD,ENGROUTENAME,None,NO FIELD DOMAIN
